Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) ,ZONE:Zone Mean Air Temperature [C](Hourly) 
 01/04  17:00:00,10.25,1.0833333333,4.1666666667,24.6868930298,24.6868930298,24.6868930298
 01/04  18:00:00,10,0,0,23.6831150617,23.6831150617,23.6831150617
 01/04  19:00:00,9.65,0,0,23.2727776405,23.2727776405,23.2727776405
 01/04  20:00:00,9.4,0,0,22.9582657519,22.9582657519,22.9582657519
 01/04  21:00:00,9.1083333333,0.875,40.8333333333,22.6920262807,22.6920262807,22.6920262807
 01/04  22:00:00,8.9,1.5,40.8333333333,22.4493933337,22.4493933337,22.4493933337
 01/04  23:00:00,7.9083333333,2.1416666667,84.1666666667,22.1984353387,22.1984353387,22.1984353387
 01/04  24:00:00,7.8416666667,2.8916666667,264.1666666667,21.9527880341,21.9527880341,21.9527880341
 01/05  01:00:00,8.0083333333,2.5166666667,155.8333333333,21.772863318,21.772863318,21.772863318
 01/05  02:00:00,7.8,2.1,15.8333333333,21.5690617968,21.5690617968,21.5690617968
 01/05  03:00:00,6.1666666667,0.875,8.3333333333,21.3214501223,21.3214501223,21.3214501223
 01/05  04:00:00,4.3583333333,0.875,110.8333333333,21.0098536991,21.0098536991,21.0098536991
 01/05  05:00:00,4.1916666667,0.625,79.1666666667,20.7666886661,20.7666886661,20.7666886661
 01/05  06:00:00,4.1083333333,0,0,20.5713551583,20.5713551583,20.5713551583
 01/05  07:00:00,5.1833333333,1.225,210,20.4002825267,20.4002825267,20.4002825267
 01/05  08:00:00,6.45,3.2666666667,360,20.4009611321,20.4009611321,20.4009611321
 01/05  09:00:00,6.9916666667,3.225,360,21.2943540569,21.2943540569,21.2943540569
 01/05  10:00:00,7.2,3.1833333333,155.8333333333,22.2994630224,22.2994630224,22.2994630224
 01/05  11:00:00,7.8416666667,3.6,10,24.0083354908,24.0083354908,24.0083354908
 01/05  12:00:00,8.65,3.6,10,25.6314648898,25.6314648898,25.6314648898
 01/05  13:00:00,9.1916666667,2.725,15.8333333333,26.9203268839,26.9203268839,26.9203268839
 01/05  14:00:00,10.1,2.1,218.3333333333,28.4272107268,28.4272107268,28.4272107268
 01/05  15:00:00,10.8916666667,2.975,360,29.7628400638,29.7628400638,29.7628400638
 01/05  16:00:00,10.4583333333,2.725,360,29.7848628784,29.7848628784,29.7848628784
 01/05  17:00:00,10.35,0.875,150,26.7225430288,26.7225430288,26.7225430288
 01/05  18:00:00,9.9,0.875,17.5,24.5672172235,24.5672172235,24.5672172235
 01/05  19:00:00,9.1083333333,0.625,12.5,23.8510456566,23.8510456566,23.8510456566
 01/05  20:00:00,8.9,0,0,23.3860874422,23.3860874422,23.3860874422
 01/05  21:00:00,8.2583333333,0.875,87.5,22.9985881461,22.9985881461,22.9985881461
 01/05  22:00:00,8.0916666667,1.85,68.3333333333,22.6636597815,22.6636597815,22.6636597815
 01/05  23:00:00,8.0083333333,2.6833333333,214.1666666667,22.3901202798,22.3901202798,22.3901202798
 01/05  24:00:00,7.45,3.1,360,22.1119792082,22.1119792082,22.1119792082
 01/06  01:00:00,7.2,2.8083333333,360,21.8587769783,21.8587769783,21.8587769783
 01/06  02:00:00,6.9083333333,3.1833333333,360,21.6254077323,21.6254077323,21.6254077323
 01/06  03:00:00,6.7,3.6,360,21.3956351434,21.3956351434,21.3956351434
 01/06  04:00:00,6.7,3.6,360,21.1933594141,21.1933594141,21.1933594141
 01/06  05:00:00,6.35,3.3083333333,360,20.9874667849,20.9874667849,20.9874667849
 01/06  06:00:00,6.1,1.2916666667,150,20.7780140609,20.7780140609,20.7780140609
 01/06  07:00:00,5.8083333333,1.5166666667,11.6666666667,20.5748241793,20.5748241793,20.5748241793
 01/06  08:00:00,5.25,2.3083333333,20,20.5008395841,20.5008395841,20.5008395841
 01/06  09:00:00,5.35,2.1,14.1666666667,21.6186157197,21.6186157197,21.6186157197
 01/06  10:00:00,5.8916666667,3.5583333333,214.1666666667,23.0435684424,23.0435684424,23.0435684424
 01/06  11:00:00,6.45,3.725,360,23.622440003,23.622440003,23.622440003
 01/06  12:00:00,6.7,2.8083333333,167.5,23.5844192686,23.5844192686,23.5844192686
 01/06  13:00:00,6.9916666667,1.0833333333,12.5,25.232022976,25.232022976,25.232022976
 01/06  14:00:00,7.55,0.875,5.8333333333,26.8471234499,26.8471234499,26.8471234499
 01/06  15:00:00,8.0916666667,2.1416666667,15.8333333333,28.065347692,28.065347692,28.065347692
 01/06  16:00:00,8.3,1.9583333333,20,28.2994933018,28.2994933018,28.2994933018
 01/06  17:00:00,8.3,1.5,14.1666666667,25.4548174226,25.4548174226,25.4548174226
 01/06  18:00:00,8.3,1.85,214.1666666667,23.5956360308,23.5956360308,23.5956360308
 01/06  19:00:00,8.3,1.75,348.3333333333,23.037197623,23.037197623,23.037197623
 01/06  20:00:00,8.0083333333,0.625,141.6666666667,22.627168928,22.627168928,22.627168928
 01/06  21:00:00,7.1583333333,1.225,93.3333333333,22.2655203469,22.2655203469,22.2655203469
 01/06  22:00:00,6.7,0.875,66.6666666667,21.9451929529,21.9451929529,21.9451929529
 01/06  23:00:00,8.625,3.325,145.8333333333,21.7677801092,21.7677801092,21.7677801092
 01/06  24:00:00,9.3583333333,4.7666666667,255.8333333333,21.6305828,21.6305828,21.6305828
 01/07  01:00:00,9.1916666667,4.1,265.8333333333,21.404652265,21.404652265,21.404652265
 01/07  02:00:00,9.1083333333,2.5833333333,235,21.2298208197,21.2298208197,21.2298208197
 01/07  03:00:00,7.2666666667,1.5,169.1666666667,20.9821350673,20.9821350673,20.9821350673
