Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),Environment:Wind Direction [deg](Hourly),FLOOR 0:Zone Mean Air Temperature [C](Hourly),FLOOR 1:Zone Mean Air Temperature [C](Hourly),FLOOR 2:Zone Mean Air Temperature [C](Hourly),FLOOR 3:Zone Mean Air Temperature [C](Hourly),FLOOR 4:Zone Mean Air Temperature [C](Hourly),FLOOR 5:Zone Mean Air Temperature [C](Hourly),FLOOR 6:Zone Mean Air Temperature [C](Hourly),FLOOR 7:Zone Mean Air Temperature [C](Hourly) 
 07/16  17:00:00,18.375,5.2916666667,225.8333333333,47.5555948626,52.4595771005,53.4609165298,53.7185149157,53.8551834474,53.9159681606,53.7747855553,56.9669391284
 07/16  18:00:00,17.4166666667,4.5916666667,235.8333333333,46.5744311874,51.4846697437,52.4466057626,52.7244998144,52.8308316381,52.9017494163,52.7360508634,55.2247796086
 07/16  19:00:00,16.475,3.8916666667,245.8333333333,43.6043751347,48.5822613476,49.5141154774,49.8026837243,49.8796443635,49.9661723789,49.7935418701,50.4015092817
 07/16  20:00:00,15.9833333333,3.775,250,41.5563329158,46.5338711637,47.4855551162,47.7455208016,47.841569043,47.9007815456,47.7540412396,46.7199539682
 07/16  21:00:00,15.8416666667,4.1333333333,244.1666666667,40.5435003773,45.5255825378,46.480251834,46.7297953867,46.8295489329,46.8793054054,46.7428040379,44.707454001
 07/16  22:00:00,15.6833333333,4.475,240,39.8804832967,44.8695220063,45.8220437813,46.0676730114,46.1661081111,46.2127101893,46.0808390318,43.3546589461
 07/16  23:00:00,15.4833333333,4.0166666667,251.6666666667,39.3371455508,44.3342346148,45.2858539632,45.5287655714,45.6263988309,45.6706179664,45.5424725791,42.2452914696
 07/16  24:00:00,15.2833333333,2.9583333333,265.8333333333,38.8610636901,43.869417919,44.8222000718,45.0641764281,45.1617138989,45.2047362914,45.0789674657,41.2948194931
 07/17  01:00:00,15.0833333333,1.9166666667,281.6666666667,38.4419108734,43.4599462511,44.4148506985,44.656454933,44.7544514791,44.7966427158,44.6719194753,40.4691173068
 07/17  02:00:00,15,1.7333333333,278.3333333333,38.0766809433,43.0962453873,44.0512742506,44.2920634212,44.3896282313,44.4310351362,44.3051237091,39.7474200212
 07/17  03:00:00,15,2.075,264.1666666667,37.7471877913,42.7591072369,43.7117768869,43.9507074101,44.0469408607,44.0870664169,43.9580458812,39.0981130635
 07/17  04:00:00,15,2.4333333333,248.3333333333,37.4416940846,42.4426958353,43.3927501023,43.6297174377,43.7246145241,43.7634300031,43.6299747545,38.5080489573
 07/17  05:00:00,15.1166666667,2.6,234.1666666667,37.1636089335,42.1525156307,43.1004976188,43.335485565,43.4293885043,43.4667989789,43.3280130586,37.9802751222
 07/17  06:00:00,15.3166666667,2.6,224.1666666667,37.3176785261,42.277430822,43.2379053292,43.4583905463,43.5657801035,43.5887634211,43.4575481651,38.1429283558
 07/17  07:00:00,15.5166666667,2.6,214.1666666667,38.219036653,43.1547041811,44.1178480487,44.3369838383,44.4480690399,44.4687062323,44.333942133,39.6277852359
 07/17  08:00:00,15.8333333333,3.125,210,38.3667052933,43.2951187404,44.2567592497,44.4818515365,44.5904919074,44.6155446792,44.4695371213,40.1701371567
 07/17  09:00:00,16.175,3.9666666667,215.8333333333,39.3206702697,44.2261787751,45.1964827092,45.4192542433,45.535625392,45.5573175358,45.4091848391,41.9599385854
 07/17  10:00:00,16.5333333333,4.825,220,39.5836169519,44.4789083371,45.4479130302,45.6742792481,45.791896847,45.8166406158,45.658397108,42.6930540645
 07/17  11:00:00,17.1083333333,4.9083333333,237.5,40.4845656313,45.3905850316,46.3821275769,46.6154581075,46.7447616116,46.76962082,46.6113762985,44.4856269673
 07/17  12:00:00,17.8666666667,4.35,261.6666666667,40.712940117,45.6904706482,46.6970476307,46.9530547396,47.0745995021,47.1185108978,46.9368141546,45.4214176337
 07/17  13:00:00,18.6083333333,3.8083333333,287.5,40.4536338835,45.4174542685,46.4225268216,46.6703213137,46.7951997241,46.8259607641,46.6481495095,45.080335782
 07/17  14:00:00,19.1333333333,4.475,300,41.9255655886,46.9128337283,47.9788524562,48.2169300513,48.3836095227,48.3930090824,48.2381355641,47.4988405289
 07/17  15:00:00,19.475,6.0333333333,305.8333333333,44.153370596,49.0451053886,50.0926238938,50.3384933428,50.5198742742,50.5447147718,50.3549298638,51.1788758925
 07/17  16:00:00,19.8333333333,7.575,310,45.8467112093,50.6899585264,51.6971478147,51.9486260396,52.1142977832,52.1505434196,51.9577986226,54.2932424888
 07/17  17:00:00,19.125,7.7916666667,304.1666666667,46.9696020185,51.749760914,52.7479410647,52.9945477551,53.1301118977,53.1828668792,52.9777077442,56.332141097
 07/17  18:00:00,17.6833333333,7.15,294.1666666667,46.8029896054,51.5615936415,52.523969189,52.7853944632,52.8974468954,52.9511768199,52.7261124982,56.032854526
 07/17  19:00:00,16.225,6.4916666667,284.1666666667,44.9514758473,49.7488858743,50.6788425263,50.9321861964,51.0193150715,51.0865834061,50.8662398758,52.6907192522
 07/17  20:00:00,15.3666666667,6.025,280,41.8338592962,46.6749148259,47.5896543253,47.8613180861,47.9308823148,48.0051457594,47.7759935166,47.6633840686
 07/17  21:00:00,14.9666666667,5.6666666667,274.1666666667,40.2266428905,45.0648861917,46.0058027891,46.2488690203,46.3427740849,46.3874021254,46.188214214,44.6686879881
 07/17  22:00:00,14.5666666667,5.325,270,39.4124172409,44.2640211865,45.2035257444,45.4431268251,45.5356616062,45.5769897874,45.3829582827,43.0580979137
 07/17  23:00:00,14.1666666667,5.3166666667,270,38.7727801146,43.6341863587,44.571774072,44.8085672456,44.8995875858,44.9383665775,44.748782221,41.7789253755
 07/17  24:00:00,13.825,5.4583333333,275.8333333333,38.2206773131,43.0881857833,44.0244387538,44.2587433624,44.3488606464,44.3853652958,44.1994659036,40.6786773371
 07/18  01:00:00,13.4666666667,5.6166666667,280,37.7374924419,42.607395028,43.54190046,43.774298056,43.8632590732,43.8981065549,43.7140255114,39.7208807261
 07/18  02:00:00,13.1833333333,5.4083333333,280,37.3108389486,42.1798055495,43.1131247847,43.3433722454,43.431723764,43.4646502554,43.2812229275,38.8796898415
 07/18  03:00:00,13.0416666667,4.85,274.1666666667,36.942057299,41.8085877979,42.740959257,42.9695169346,43.0572665068,43.0886387581,42.9041650601,38.1550914722
 07/18  04:00:00,12.8833333333,4.3083333333,270,36.6035337484,41.4658431819,42.3969765252,42.6244746867,42.7112934394,42.7417120768,42.5543438256,37.5056121219
 07/18  05:00:00,12.6833333333,4.3333333333,270,36.2745321935,41.1284647687,42.0575340046,42.2840091125,42.3695348505,42.3992185948,42.2073989952,36.893337526
 07/18  06:00:00,12.4833333333,4.675,264.1666666667,36.1025971112,40.9391690921,41.8710417492,42.0918224416,42.1812697411,42.2054228278,42.013114292,36.5506149569
 07/18  07:00:00,12.2833333333,5.0333333333,260,36.2202792437,41.0369270039,41.9720609057,42.1883360237,42.2820626052,42.3014196729,42.1076573311,36.7317204128
 07/18  08:00:00,12.4333333333,5.375,260,36.6471481335,41.4433640134,42.3884687599,42.5990585064,42.7023740133,42.7143671443,42.5223302927,37.5703192465
 07/18  09:00:00,12.775,5.7333333333,254.1666666667,37.4234860087,42.2073738888,43.1572123008,43.3710914788,43.4777618249,43.4909538021,43.2929908862,39.1315565912
