@,Latitude,Longitude,Time,Tweet,Media,Tags0,Tags1,Tags2,Tags3,Tags4,Tags5,Tags6
@ssckelleher,," ",Time: Wed Feb 12 13:32:04 GMT 2014,#studioOD why couldnt Twitter accounts be location specific instead of person specific? Eg. @thenumber83abussheffield http://t.co/qkMFgs8DGi,98,studioOD,,,,,,
@bartjasmith,53.3766236,-1.4586202,Time: Wed Feb 12 13:29:44 GMT 2014,Communal compost? Micro urban cultivation? Community material exchange? #studioOD #work #community http://t.co/quXHooUQMa,99,studioOD,work,community,,,,
@kolnranger,53.39949651,-1.46515354,Time: Wed Feb 12 13:28:35 GMT 2014,#StudioOD Can unused private gardens become shared spaces for #recreation #play and #growing?,,StudioOD,recreation,play,growing,,,
@kolnranger,53.38977957,-1.45989872,Time: Wed Feb 12 13:25:31 GMT 2014,#studioOD can redundant steel factories be used for a new type of #manufacturing and #industry?,,studioOD,manufacturing,industry,,,,
@boldtoad,53.3763309,-1.4677513,Time: Wed Feb 12 13:25:20 GMT 2014,Back at the base ... #studioOD #work http://t.co/E1KcARmsds,102,studioOD,work,,,,,
@ssckelleher,," ",Time: Wed Feb 12 13:24:20 GMT 2014,#studioOD #play under the bridge.. why are these places never more inviting? Folly for a tram bridge? http://t.co/SZTovu4d5u,103,studioOD,play,,,,,
@chigi321,," ",Time: Wed Feb 12 13:19:37 GMT 2014,RT @aimrashid: Setting up for data collection and visualisation #studioOD ##work #rest #play http://t.co/bYBMtkRLU2,104,studioOD,work,rest,play,,,
@ssckelleher,," ",Time: Wed Feb 12 13:18:01 GMT 2014,#studioOD #play in praise of waiting: bus stop art galleries http://t.co/3VpB2qw8lh,105,studioOD,play,,,,,
@bartjasmith,53.3766236,-1.4586202,Time: Wed Feb 12 13:14:54 GMT 2014,#studioOD #work #cultivationhacks New paddy field terraces for Sheffield? http://t.co/oD0qZKgKYB,106,studioOD,work,cultivationhacks,,,,
@zhinipoh,53.3736247,-1.4661152,Time: Wed Feb 12 13:12:38 GMT 2014,Murals; often being missed out by passerbys. What are the roles of these silent members of the city? #studioOD #play http://t.co/3KiLr2PYSw,107,studioOD,play,,,,,
